PMID;Anno;Titolo;Autore DCTV;Autore DSF;Rivista;IF Clarivate
41473186;2025;Are parenting style and Mediterranean diet in children associated?;Buja Alessandra, Baldovin Tatjana;;Frontiers in nutrition;4,0
41458508;2025;Microbiota-based biomarkers of infection risk in patients undergoing vascular en...;Colacchio Elda Chiara, Grego Franco;;Frontiers in medicine;3,1
41293723;2025;Cross-disciplinary awareness of healthcare associated infections (HAIs): insight...;Catelan Dolores, Caenazzo Luciana;;Frontiers in medicine;3,1
40819324;2025;Dexamethasone conjugation to an Avidin-Nucleic-Acid-NanoASsembly eliminates the ...;Schiavon Elisa, Meloni Federica;Salmaso Anita, Mattarei Andrea;Drug delivery;5,4
40750828;2025;The main protease (M;Pierangelini Andrea, Gregori Dario;Acquasaliente Laura, Gatto Barbara;Communications biology;5,2
40190580;2025;Hand-to-surface bacterial transfer and healthcare-associated infections preventi...;Catelan Dolores, Caenazzo Luciana;;Frontiers in medicine;3,1
39931011;2025;Postmortem Redistribution of Oxycodone.;Aprile Anna, Favretto Donata;;Drug testing and analysis;2,5
39396825;2025;Long COVID in Immunocompromised and Immunocompetent Patients: A Clinical, Morpho...;Bernardinello Nicol, Pezzuto Federica;;Archives of pathology & laboratory medicine;5,0
39366846;2024;Efficacy of nonopioid analgesics and adjuvants in multimodal analgesia for reduc...;;;British journal of anaesthesia;9,1
38951692;2024;Targeting senescence induced by age or chemotherapy with a polyphenol-rich natur...;Rizzo Beatrice, Giraudo Chiara;Colucci Manuel, Dall'Acqua Stefano;Nature aging;16,6
38750639;2024;Successful Recovery of Cardiac Function Following 20 min of a No-touch Period in...;Zanatta Paolo, Angelini Matteo;;Transplantation;5,3
38296049;2024;The Cost of Atrial Fibrillation: A Systematic Review.;Buja Alessandra, Baldo Vincenzo;;Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research;4,9
37978570;2023;Molecular and functional profiling of chemotolerant cells unveils nucleoside met...;;Bortolozzi Roberta;Acta neuropathologica communications;6,4
37892756;2023;RAndomized Clinical Trial Of NAfamostat Mesylate, A Potent Transmembrane Proteas...;Gregori Dario;Morpurgo Margherita;Journal of clinical medicine;3,0
37542678;2023;The Prevalent Comorbidome at the Onset of Psoriasis Diagnosis.;Buja Alessandra;;Dermatology and therapy;3,6
36980229;2023;Development and In Vitro/In Vivo Comparative Characterization of Cryopreserved a...;;Conconi Maria Teresa;Cells;5,1
36874984;2023;Preclinical and clinical orthotopic transplantation of decellularized/engineered...;;Conconi Maria Teresa;Journal of tissue engineering;4,2
36530685;2022;Human microbiome and microbiota identification for preventing and controlling he...;Tozzo Pamela, Caenazzo Luciana;;Frontiers in public health;3,0
36501146;2022;Animal- and Plant-Based Protein Sources: A Scoping Review of Human Health Outcom...;;Bertazzo Antonella;Nutrients;4,8
35829673;2022;Masks trigger facial seborrheic dermatitis and psoriasis: evidence from a multic...;Buja Alessandra;Gironi Laura C, Pigatto Paolo D;Italian journal of dermatology and venereology;2,0
35666665;2022;COVID-19 first lockdown and outpatient hospital setting: a single center, real l...;Buja Alessandra;Gironi Laura C, Pigatto Paolo D;Italian journal of dermatology and venereology;2,0
35654630;2022;Anaesthetic depth and delirium after major surgery. Comment on Br J Anaesth 2022...;Zanatta Paolo;;British journal of anaesthesia;9,1
35652004;2022;Influence of Previous General Anesthesia on Cognitive Impairment: An Observation...;Gerosa Gino, Zanatta Paolo;;Frontiers in human neuroscience;2,4
35383054;2022;Impact of the COVID-19 lockdown on psychological health and nutritional habits i...;Lorenzoni Giulia, Gregori Dario;Giron Maria Cecilia;BMJ open;2,4
34019247;2021;Unmet Clinical Needs in Elderly Patients Receiving Direct Oral Anticoagulants fo...;Squizzato Alessandro;;Advances in therapy;3,8
33920144;2021;Von Willebrand Factor Multimers and the Relaxation Response: A One-Year Study.;Tona Francesco;Acquasaliente Laura, De Filippis Vincenzo;Entropy (Basel, Switzerland);2,1
33533563;2021;COVID-19 related masks increase severity of both acne (maskne) and rosacea (mask...;Buja Alessandra;Gironi Laura C, Pigatto Paolo D M;Dermatologic therapy;3,4
33527560;2021;Mask-induced Koebner phenomenon and its clinical phenotypes: A multicenter, real...;Buja Alessandra;Gironi Laura Cristina, Pigatto Paolo Daniele Maria;Dermatologic therapy;3,4
33057619;2021;Does Eumelanin Oxidation Play a Role on the Photostability of Ethyl Glucuronide ...;Favretto Donata;Miolo Giorgia;Journal of analytical toxicology;2,6
32518155;2020;The J-elongated conformation of β;;De Filippis Vincenzo;The Journal of biological chemistry;4,0
30668723;2020;A Study on Photostability of Ethyl Glucuronide in Hair Irradiated under Artifici...;Montisci Massimo, Favretto Donata;Miolo Giorgia, Menilli Luca;Journal of analytical toxicology;2,6
